"Fecha","Temperatura","Humedad","Precipitación Total"
"2016-06-18 07",15.95,71.03,0
"2016-06-18 08",16.48,69.04,0
"2016-06-18 09",17.23,63.6,0
"2016-06-18 10",18.88,55.65,0
"2016-06-18 11",20.5,48.29,0
"2016-06-18 12",21.03,43.58,0
"2016-06-18 13",22.43,35.1,0
"2016-06-18 14",23.51,32.79,0
"2016-06-18 15",23.54,30.36,0
"2016-06-18 16",23.97,27.81,0
"2016-06-18 17",24.37,26.86,0
"2016-06-18 18",23.39,31.28,0
"2016-06-18 19",22.34,38.05,0
"2016-06-18 20",20.71,44.82,0
"2016-06-18 21",19.06,51.35,0
"2016-06-18 22",17.68,59.4,0
"2016-06-18 23",16.48,61.37,0
"2016-06-19 00",16.35,62.19,0
"2016-06-19 01",15.85,62.16,0
"2016-06-19 02",15.56,63.11,0
"2016-06-19 03",14.96,67.82,0
"2016-06-19 04",14.7,66.59,0
"2016-06-19 05",14.71,64.72,0
"2016-06-19 06",14.7,64.68,0
"2016-06-19 07",14.78,67.04,0
"2016-06-19 08",15.28,64,0
"2016-06-19 09",16.46,58.76,0
"2016-06-19 10",16.91,56.38,0
"2016-06-19 11",18.76,48.42,0
"2016-06-19 12",19.73,43.88,0
"2016-06-19 13",20.94,40.71,0
"2016-06-19 14",22.06,37.85,0
"2016-06-19 15",23.03,36.14,0
"2016-06-19 16",22.65,39.35,0
"2016-06-19 17",22.3,42.73,0
"2016-06-19 18",21.11,49.04,0
"2016-06-19 19",20.02,52.97,0
"2016-06-19 20",19,60.01,0
"2016-06-19 21",18.09,65.29,0
"2016-06-19 22",16.22,80.27,2.6
"2016-06-19 23",15.62,83.78,0.2
"2016-06-20 00",15.87,77.78,0
"2016-06-20 01",16.09,74.93,0
"2016-06-20 02",15.9,76.11,0
"2016-06-20 03",15.85,75.21,0
"2016-06-20 04",15.6,76.05,0
"2016-06-20 05",15.49,77.21,0
"2016-06-20 06",15.38,77.68,0
"2016-06-20 07",15.35,78.33,0
"2016-06-20 08",15.9,74.03,0
"2016-06-20 09",16.41,69.69,0
"2016-06-20 10",16.83,67.8,0
"2016-06-20 11",17.96,62.2,0
"2016-06-20 12",19.14,57.57,0
"2016-06-20 13",20.01,54.13,0
"2016-06-20 14",21.57,48.66,0
"2016-06-20 15",22.32,46.51,0
"2016-06-20 16",19.15,65.31,0
"2016-06-20 17",15.11,89.38,2.1
"2016-06-20 18",15.29,89.01,1
"2016-06-20 19",15.01,86.69,0.2
"2016-06-20 20",14.64,89.31,0.6
"2016-06-20 21",14.56,89.48,0.7
"2016-06-20 22",14.57,91.4,0.6
"2016-06-20 23",14.73,85.22,0.4
"2016-06-21 00",14.06,92.26,0.5
"2016-06-21 01",13.81,92.87,1.5
"2016-06-21 02",13.68,95.26,2.3
"2016-06-21 03",13.9,93.89,0
"2016-06-21 04",14.08,93.38,0
"2016-06-21 05",14.16,93.34,0
"2016-06-21 06",14.29,91.86,0
"2016-06-21 07",14.52,90.88,0
"2016-06-21 08",14.93,88.77,0
"2016-06-21 09",14.72,91.15,3
"2016-06-21 10",16.35,80.12,0
"2016-06-21 11",17.56,70.1,0
"2016-06-21 12",18.57,63.36,0
"2016-06-21 13",19,58.83,0
"2016-06-21 14",19.66,57.21,0
"2016-06-21 15",20.63,50.71,0
"2016-06-21 16",20.53,49.42,0
"2016-06-21 17",20.03,52.35,0
"2016-06-21 18",20.02,51.21,0
"2016-06-21 19",19.26,54.1,0
"2016-06-21 20",18.63,58.21,0
"2016-06-21 21",17.71,62.71,0
"2016-06-21 22",17.01,65.48,0
"2016-06-21 23",16.31,65.69,0
"2016-06-22 00",15.81,69.91,0
"2016-06-22 01",15.38,71.46,0
"2016-06-22 02",14.82,74.33,0
"2016-06-22 03",14.5,73.01,0
"2016-06-22 04",14.23,71.57,0
"2016-06-22 05",13.82,70.69,0
"2016-06-22 06",13.7,70.44,0
"2016-06-22 07",14.3,66.85,0
"2016-06-22 08",15.59,62.86,0
"2016-06-22 09",16.4,60.1,0
"2016-06-22 10",17.8,55.51,0
"2016-06-22 11",18.95,51.88,0
"2016-06-22 12",20.5,44.75,0
"2016-06-22 13",21.47,41.53,0
"2016-06-22 14",22.91,36.55,0
"2016-06-22 15",23.62,33.05,0
"2016-06-22 16",24.2,31.21,0
"2016-06-22 17",23.86,33.84,0
"2016-06-22 18",22.9,37.57,0
"2016-06-22 19",18.57,58.4,0.1
"2016-06-22 20",16.55,71.25,1.6
"2016-06-22 21",14.54,86.06,0.5
"2016-06-22 22",14.32,83.71,0
"2016-06-22 23",14.34,87.89,0
"2016-06-23 00",14.33,86.43,0
"2016-06-23 01",13.49,85.88,0
"2016-06-23 02",12.95,89.34,0
"2016-06-23 03",12.67,87.05,0
"2016-06-23 04",11.82,88.6,0
"2016-06-23 05",11.59,89.59,0
"2016-06-23 06",11.98,87.46,0
"2016-06-23 07",12.46,86.85,0
"2016-06-23 08",14.14,79.45,0
"2016-06-23 09",16.07,66.92,0
"2016-06-23 10",17.45,59.94,0
"2016-06-23 11",18.91,51.44,0
"2016-06-23 12",20.66,45.22,0
"2016-06-23 13",21.84,39.42,0
"2016-06-23 14",22.93,34.07,0
"2016-06-23 15",21.42,40.44,0
"2016-06-23 16",18.29,50.86,0
"2016-06-23 17",19.66,44.01,0
"2016-06-23 18",20.75,41.14,0
"2016-06-23 19",20.03,43.42,0
"2016-06-23 20",19.11,48.47,0
"2016-06-23 21",18.76,55.38,0
"2016-06-23 22",17.77,62.55,0
"2016-06-23 23",16.72,65.98,0
"2016-06-24 00",16.26,67.05,0
"2016-06-24 01",15.61,70.04,0
"2016-06-24 02",14.69,72.71,0
"2016-06-24 03",14.2,74.76,0
"2016-06-24 04",13.64,77.59,0
"2016-06-24 05",13.72,77.42,0
"2016-06-24 06",13.28,81.03,0
"2016-06-24 07",13,81.08,0
"2016-06-24 08",14.95,71.59,0
"2016-06-24 09",15.95,69.32,0
"2016-06-24 10",16.87,65.67,0
"2016-06-24 11",18.47,57.9,0
"2016-06-24 12",19.82,51.22,0
"2016-06-24 13",21.07,47.52,0
"2016-06-24 14",22.39,42.26,0
"2016-06-24 15",23.12,39.38,0
"2016-06-24 16",21.72,49.17,0
"2016-06-24 17",20.73,51.76,0
"2016-06-24 18",19.4,55.3,0
"2016-06-24 19",18.97,56.56,0
"2016-06-24 20",17.51,63.88,0
"2016-06-24 21",16.21,77.13,0
"2016-06-24 22",15.71,83.17,0
"2016-06-24 23",15.37,79.69,0
"2016-06-25 00",15.5,74.35,0
"2016-06-25 01",15.63,75.47,0
"2016-06-25 02",15.4,77.84,0
"2016-06-25 03",14.87,82.27,0
"2016-06-25 04",14.99,82.92,0
"2016-06-25 05",14.86,81.09,0
"2016-06-25 06",14.57,78.09,0
"2016-06-25 07",14.48,78.3,0
"2016-06-25 08",15.79,72.33,0
"2016-06-25 09",17.59,67.18,0
"2016-06-25 10",19.49,57.12,0
"2016-06-25 11",20.74,53.53,0
"2016-06-25 12",21.87,50.56,0
"2016-06-25 13",22.11,51.08,0
"2016-06-25 14",22.28,49.54,0
"2016-06-25 15",22.49,49.62,0
"2016-06-25 16",22.54,48.54,0
"2016-06-25 17",20.43,58.42,0
"2016-06-25 18",17.03,81.57,2.5
"2016-06-25 19",15.69,93.06,5.2
"2016-06-25 20",15.3,92.16,0.4
"2016-06-25 21",15.32,88.75,1.9
"2016-06-25 22",14.98,90.91,0.6
"2016-06-25 23",15.1,90.99,0.2
"2016-06-26 00",15.2,91.27,0
"2016-06-26 01",14.83,92.01,0.1
"2016-06-26 02",14.93,92.45,0.4
"2016-06-26 03",14.6,93.27,0
"2016-06-26 04",14.63,91.71,0
"2016-06-26 05",14.32,90.11,0
"2016-06-26 06",14.36,90.06,0
"2016-06-26 07",14.69,87.8,0
"2016-06-26 08",15.96,82.69,0
"2016-06-26 09",16.61,77.57,0
"2016-06-26 10",17.5,71.52,0
"2016-06-26 11",19.35,62.83,0
"2016-06-26 12",20.6,57.08,0
"2016-06-26 13",19.69,64.44,1
"2016-06-26 14",21.11,57.99,0
"2016-06-26 15",22.21,50.47,0
"2016-06-26 16",21.74,55.15,0
"2016-06-26 17",17.45,77.93,0
"2016-06-26 18",18.49,70.07,0
"2016-06-26 19",18.9,69.12,0
"2016-06-26 20",18.48,70.53,0
"2016-06-26 21",17.7,75.41,0
"2016-06-26 22",17.32,76.23,0
"2016-06-26 23",16.95,76.57,0
"2016-06-27 00",16.68,76.25,0
"2016-06-27 01",16.47,76.46,0
"2016-06-27 02",15.57,84.34,2.7
"2016-06-27 03",14.36,94.82,2.5
"2016-06-27 04",14.54,93.16,0.1
"2016-06-27 05",14.85,91.36,0
"2016-06-27 06",14.54,92.06,0
"2016-06-27 07",14.74,91.54,0
"2016-06-27 08",15.86,84.21,0
"2016-06-27 09",17.1,75,0
"2016-06-27 10",18.54,65.11,0
"2016-06-27 11",20.17,57.37,0
"2016-06-27 12",21.04,53,0
"2016-06-27 13",22.56,44.04,0
"2016-06-27 14",23.65,40.06,0
"2016-06-27 15",24.16,38.75,0
"2016-06-27 16",23.6,38.22,0.2
"2016-06-27 17",19,62.54,0.6
"2016-06-27 18",18.07,67.54,0
"2016-06-27 19",16.26,78.2,7.4
"2016-06-27 20",14.96,91.51,0.2
"2016-06-27 21",15.16,89.07,0.1
"2016-06-27 22",15.35,85.83,0
"2016-06-27 23",14.87,85.64,0
"2016-06-28 00",14.94,83.19,0
"2016-06-28 01",14.55,83.48,0
"2016-06-28 02",14.74,82.96,0
"2016-06-28 03",14.66,82.4,0
"2016-06-28 04",14.9,80.94,0
"2016-06-28 05",14.72,80.74,0
"2016-06-28 06",14.64,80.03,0
"2016-06-28 07",14.42,78.52,0
"2016-06-28 08",14.96,73.64,0
"2016-06-28 09",15.73,69.56,0
"2016-06-28 10",17.13,60.36,0
"2016-06-28 11",18.31,54.87,0
"2016-06-28 12",19.99,47.91,0
"2016-06-28 13",21.16,43.27,0
"2016-06-28 14",22.41,38.27,0
"2016-06-28 15",23.52,33.95,0
"2016-06-28 16",23.96,31.86,0
"2016-06-28 17",24.7,28.85,0
"2016-06-28 18",23.67,35.03,0
"2016-06-28 19",16.25,78.64,14.2
"2016-06-28 20",15.13,88.05,1.6
"2016-06-28 21",14.58,85.45,1
"2016-06-28 22",14.7,82.7,0
"2016-06-28 23",15.47,75.76,0
"2016-06-29 00",14.43,81.37,0
"2016-06-29 01",14.18,81.21,0
"2016-06-29 02",14.47,79.04,0
"2016-06-29 03",14.46,78.73,0
"2016-06-29 04",14.12,80.33,0
"2016-06-29 05",14.01,78.29,0
"2016-06-29 06",13.83,77.53,0
"2016-06-29 07",13.85,77.76,0
"2016-06-29 08",14.84,73.11,0
"2016-06-29 09",15.58,68.25,0
"2016-06-29 10",17.18,61.67,0
"2016-06-29 11",18.8,52.47,0
"2016-06-29 12",20.16,47.45,0
"2016-06-29 13",21.44,43.62,0
"2016-06-29 14",22.63,40.05,0
"2016-06-29 15",22.74,39.83,0
"2016-06-29 16",22.95,38.86,0
"2016-06-29 17",19.73,48.33,0.1
"2016-06-29 18",18.57,58.92,0
"2016-06-29 19",16.09,75.6,0.1
"2016-06-29 20",15.53,79.47,1
"2016-06-29 21",14.05,90.8,1.8
"2016-06-29 22",13.3,89.74,4.2
"2016-06-29 23",13.24,86.6,1.2
"2016-06-30 00",13.06,87.62,0.3
"2016-06-30 01",13.16,89.38,0
"2016-06-30 02",13.28,89.52,0
"2016-06-30 03",13.03,91.42,0
"2016-06-30 04",12.82,91.81,0
"2016-06-30 05",12.4,93.81,0
